,Algoritmo,tempoExecucao,Tamanho Vetor
0,Heap Sort,0.004226500168442726,1000
1,Heap Sort,0.008166800020262599,3000
2,Heap Sort,0.013473499799147248,6000
3,Heap Sort,0.033885200042277575,10000
4,Heap Sort,0.04219750012271106,15000
5,Heap Sort,0.07141539989970624,21000
6,Heap Sort,0.09520089998841286,28000
7,Heap Sort,0.13593590003438294,36000
8,Heap Sort,0.20845420006662607,45000
9,Heap Sort,0.22094690008088946,55000
