,Algoritmo,tempoExecucao,Tamanho Vetor
0,Shell Sort Teorema 2,0.01785780000000159,1000
1,Shell Sort Teorema 2,0.1919851000000108,3000
2,Shell Sort Teorema 2,0.8206629999999677,6000
3,Shell Sort Teorema 2,2.441607899999781,10000
4,Shell Sort Teorema 2,5.178912399999945,15000
5,Shell Sort Teorema 2,9.982978000000003,21000
6,Shell Sort Teorema 2,18.27786859999992,28000
7,Shell Sort Teorema 2,30.497164299999895,36000
8,Shell Sort Teorema 2,48.51969230000009,45000
9,Shell Sort Teorema 2,70.40055979999988,55000
