,Algoritmo,tempoExecucao,Tamanho Vetor
0,Shell Sort Teorema 1,0.0005449000000226079,1000
1,Shell Sort Teorema 1,0.003191000000015265,3000
2,Shell Sort Teorema 1,0.004996500000061133,6000
3,Shell Sort Teorema 1,0.006339799999977913,10000
4,Shell Sort Teorema 1,0.015529099999980644,15000
5,Shell Sort Teorema 1,0.01575669999999718,21000
6,Shell Sort Teorema 1,0.020971199999962664,28000
7,Shell Sort Teorema 1,0.02392409999993106,36000
8,Shell Sort Teorema 1,0.03584699999998975,45000
9,Shell Sort Teorema 1,0.03698220000001129,55000
