,Algoritmo,tempoExecucao,Tamanho Vetor
0,Shell Sort Teorema 1,0.04953950000003715,1000
1,Shell Sort Teorema 1,0.3898758000000271,3000
2,Shell Sort Teorema 1,1.71234579999998,6000
3,Shell Sort Teorema 1,4.961845700000026,10000
4,Shell Sort Teorema 1,10.738959399999999,15000
5,Shell Sort Teorema 1,21.128724799999873,21000
6,Shell Sort Teorema 1,36.29697060000012,28000
7,Shell Sort Teorema 1,60.0310414999999,36000
8,Shell Sort Teorema 1,92.9668537,45000
9,Shell Sort Teorema 1,156.9571272999999,55000
